--------------------------------------------------------------------------------------------------------------------------
Frequent Itemset Summary

Data File: ..\..\mushroom-bin.data

Total number of frequent itemsets generated: 24035

Number of frequent itemsets of length 1: 39
Number of frequent itemsets of length 2: 312
Number of frequent itemsets of length 3: 1127
Number of frequent itemsets of length 4: 2467
Number of frequent itemsets of length 5: 3801
Number of frequent itemsets of length 6: 4544
Number of frequent itemsets of length 7: 4437
Number of frequent itemsets of length 8: 3534
Number of frequent itemsets of length 9: 2224
Number of frequent itemsets of length 10: 1067
Number of frequent itemsets of length 11: 376
Number of frequent itemsets of length 12: 92
Number of frequent itemsets of length 13: 14
Number of frequent itemsets of length 14: 1



Total number of candidate frequent itemsets generated: 24834

Number of candidate frequent itemsets of length 1: 124
Number of candidate frequent itemsets of length 2: 720
Number of candidate frequent itemsets of length 3: 1337
Number of candidate frequent itemsets of length 4: 2538
Number of candidate frequent itemsets of length 5: 3822
Number of candidate frequent itemsets of length 6: 4548
Number of candidate frequent itemsets of length 7: 4437
Number of candidate frequent itemsets of length 8: 3534
Number of candidate frequent itemsets of length 9: 2224
Number of candidate frequent itemsets of length 10: 1067
Number of candidate frequent itemsets of length 11: 376
Number of candidate frequent itemsets of length 12: 92
Number of candidate frequent itemsets of length 13: 14
Number of candidate frequent itemsets of length 14: 1



Total time taken to generate frequent itemsets: 291742 ms
--------------------------------------------------------------------------------------------------------------------------
                                           Frequent Itemset                                                            Occurrence              Support
cap-shape_x                                                                                                                3656             0.4500246
cap-shape_f                                                                                                                3152             0.3879862
cap-surface_f                                                                                                              2320             0.2855736
cap-surface_y                                                                                                              3244             0.39931068
cap-surface_s                                                                                                              2556             0.31462333
cap-color_n                                                                                                                2284             0.2811423
cap-color_g                                                                                                                1840             0.22648941
bruises                                                                                                                    3376             0.41555884
odor_f                                                                                                                     2160             0.2658789
odor_n                                                                                                                     3528             0.43426883
gill-attachment_f                                                                                                          7914             0.97415066
gill-spacing_c                                                                                                             6812             0.8385032
gill-size_b                                                                                                                5612             0.69079274
gill-size_n                                                                                                                2512             0.3092073
gill-color_b                                                                                                               1728             0.21270311
stalk-shape_e                                                                                                              3516             0.43279174
stalk-shape_t                                                                                                              4608             0.5672083
stalk-root_b                                                                                                               3776             0.46479568
stalk-surface-above-ring_k                                                                                                 2372             0.2919744
stalk-surface-above-ring_s                                                                                                 5176             0.6371246
stalk-surface-below-ring_k                                                                                                 2304             0.28360415
stalk-surface-below-ring_s                                                                                                 4936             0.60758245
stalk-color-above-ring_p                                                                                                   1872             0.23042837
stalk-color-above-ring_w                                                                                                   4464             0.549483
stalk-color-below-ring_p                                                                                                   1872             0.23042837
stalk-color-below-ring_w                                                                                                   4384             0.53963566
veil-type_p                                                                                                                8124             1.0
veil-color_w                                                                                                               7924             0.9753816
ring-number_o                                                                                                              7488             0.9217135
ring-type_e                                                                                                                2776             0.3417036
ring-type_p                                                                                                                3968             0.48842934
spore-print-color_k                                                                                                        1872             0.23042837
spore-print-color_n                                                                                                        1968             0.2422452
spore-print-color_h                                                                                                        1632             0.20088626
spore-print-color_w                                                                                                        2388             0.29394388
population_v                                                                                                               4040             0.49729198
population_y                                                                                                               1712             0.21073362
habitat_p                                                                                                                  4052             0.49876907
habitat_d                                                                                                                  1880             0.2314131
cap-shape_x,gill-attachment_f                                                                                              3602             0.44337764
cap-shape_x,gill-spacing_c                                                                                                 3016             0.37124568
cap-shape_x,gill-size_b                                                                                                    2632             0.32397833
cap-shape_x,stalk-shape_e                                                                                                  1640             0.201871
cap-shape_x,stalk-shape_t                                                                                                  2016             0.24815361
cap-shape_x,stalk-root_b                                                                                                   1932             0.23781389
cap-shape_x,stalk-surface-above-ring_s                                                                                     2376             0.29246676
cap-shape_x,stalk-surface-below-ring_s                                                                                     2256             0.27769572
cap-shape_x,stalk-color-above-ring_w                                                                                       2048             0.25209257
cap-shape_x,stalk-color-below-ring_w                                                                                       2024             0.24913836
cap-shape_x,veil-type_p                                                                                                    3656             0.4500246
cap-shape_x,veil-color_w                                                                                                   3608             0.4441162
cap-shape_x,ring-number_o                                                                                                  3464             0.42639095
cap-shape_x,ring-type_p                                                                                                    1924             0.23682915
cap-shape_x,population_v                                                                                                   1696             0.20876415
cap-shape_x,habitat_p                                                                                                      1774             0.21836534
cap-shape_f,gill-attachment_f                                                                                              3098             0.38133925
cap-shape_f,gill-spacing_c                                                                                                 2700             0.3323486
cap-shape_f,gill-size_b                                                                                                    2316             0.28508124
cap-shape_f,stalk-shape_t                                                                                                  2016             0.24815361
cap-shape_f,stalk-root_b                                                                                                   1778             0.2188577
cap-shape_f,stalk-surface-above-ring_s                                                                                     1918             0.2360906
cap-shape_f,stalk-surface-below-ring_s                                                                                     1798             0.22131954
cap-shape_f,veil-type_p                                                                                                    3152             0.3879862
cap-shape_f,veil-color_w                                                                                                   3102             0.38183162
cap-shape_f,ring-number_o                                                                                                  3020             0.37173805
cap-shape_f,population_v                                                                                                   1636             0.20137863
cap-surface_f,gill-attachment_f                                                                                            2320             0.2855736
cap-surface_f,gill-spacing_c                                                                                               1672             0.20580995
cap-surface_f,gill-size_b                                                                                                  2040             0.25110784
cap-surface_f,stalk-root_b                                                                                                 1680             0.20679468
cap-surface_f,veil-type_p                                                                                                  2320             0.2855736
cap-surface_f,veil-color_w                                                                                                 2320             0.2855736
cap-surface_f,ring-number_o                                                                                                2176             0.26784834
cap-surface_y,gill-attachment_f                                                                                            3226             0.39709502
cap-surface_y,gill-spacing_c                                                                                               3208             0.39487937
cap-surface_y,gill-size_b                                                                                                  2152             0.26489413
cap-surface_y,stalk-shape_t                                                                                                1728             0.21270311
cap-surface_y,stalk-surface-above-ring_s                                                                                   2084             0.25652388
cap-surface_y,stalk-surface-below-ring_s                                                                                   1844             0.22698179
cap-surface_y,veil-type_p                                                                                                  3244             0.39931068
cap-surface_y,veil-color_w                                                                                                 3236             0.39832595
cap-surface_y,ring-number_o                                                                                                3052             0.37567702
cap-surface_y,population_v                                                                                                 1792             0.220581
cap-surface_y,habitat_p                                                                                                    1856             0.22845888
cap-surface_s,gill-attachment_f                                                                                            2364             0.29098967
cap-surface_s,gill-spacing_c                                                                                               1932             0.23781389
cap-surface_s,stalk-surface-above-ring_s                                                                                   1708             0.21024126
cap-surface_s,stalk-surface-below-ring_s                                                                                   1708             0.21024126
cap-surface_s,stalk-color-above-ring_w                                                                                     1876             0.23092073
cap-surface_s,stalk-color-below-ring_w                                                                                     1876             0.23092073
cap-surface_s,veil-type_p                                                                                                  2556             0.31462333
cap-surface_s,veil-color_w                                                                                                 2364             0.29098967
cap-surface_s,ring-number_o                                                                                                2256             0.27769572
cap-color_n,gill-attachment_f                                                                                              2086             0.25677007
cap-color_n,gill-spacing_c                                                                                                 2004             0.24667652
cap-color_n,stalk-shape_t                                                                                                  1696             0.20876415
cap-color_n,stalk-surface-above-ring_s                                                                                     1668             0.20531757
cap-color_n,veil-type_p                                                                                                    2284             0.2811423
cap-color_n,veil-color_w                                                                                                   2092             0.2575086
cap-color_n,ring-number_o                                                                                                  2200             0.27080256
cap-color_g,gill-attachment_f                                                                                              1840             0.22648941
cap-color_g,gill-size_b                                                                                                    1728             0.21270311
cap-color_g,veil-type_p                                                                                                    1840             0.22648941
cap-color_g,veil-color_w                                                                                                   1840             0.22648941
cap-color_g,ring-number_o                                                                                                  1688             0.20777942
bruises,odor_n                                                                                                             2032             0.25012308
bruises,gill-attachment_f                                                                                                  3376             0.41555884
bruises,gill-spacing_c                                                                                                     3272             0.40275726
bruises,gill-size_b                                                                                                        3016             0.37124568
bruises,stalk-shape_t                                                                                                      2112             0.25997046
bruises,stalk-root_b                                                                                                       2224             0.27375677
bruises,stalk-surface-above-ring_s                                                                                         3232             0.3978336
bruises,stalk-surface-below-ring_s                                                                                         3040             0.3741999
bruises,stalk-color-above-ring_w                                                                                           2128             0.26193994
bruises,stalk-color-below-ring_w                                                                                           2128             0.26193994
bruises,veil-type_p                                                                                                        3376             0.41555884
bruises,veil-color_w                                                                                                       3376             0.41555884
bruises,ring-number_o                                                                                                      3080             0.3791236
bruises,ring-type_p                                                                                                        3184             0.39192516
bruises,habitat_d                                                                                                          1824             0.22451994
odor_f,gill-attachment_f                                                                                                   2160             0.2658789
odor_f,gill-spacing_c                                                                                                      2160             0.2658789
odor_f,veil-type_p                                                                                                         2160             0.2658789
odor_f,veil-color_w                                                                                                        2160             0.2658789
odor_f,ring-number_o                                                                                                       2160             0.2658789
odor_f,habitat_p                                                                                                           2160             0.2658789
odor_n,gill-attachment_f                                                                                                   3336             0.41063514
odor_n,gill-spacing_c                                                                                                      2408             0.2964057
odor_n,gill-size_b                                                                                                         3288             0.40472674
odor_n,stalk-shape_t                                                                                                       2496             0.3072378
odor_n,stalk-root_b                                                                                                        1904             0.23436731
odor_n,stalk-surface-above-ring_s                                                                                          2920             0.35942885
odor_n,stalk-surface-below-ring_s                                                                                          2872             0.35352042
odor_n,stalk-color-above-ring_w                                                                                            2064             0.25406203
odor_n,stalk-color-below-ring_w                                                                                            1984             0.24421467
odor_n,veil-type_p                                                                                                         3528             0.43426883
odor_n,veil-color_w                                                                                                        3328             0.40965042
odor_n,ring-number_o                                                                                                       2928             0.36041358
odor_n,ring-type_p                                                                                                         2432             0.29935992
odor_n,habitat_d                                                                                                           1784             0.21959625
gill-attachment_f,gill-spacing_c                                                                                           6602             0.81265384
gill-attachment_f,gill-size_b                                                                                              5402             0.6649434
gill-attachment_f,gill-size_n                                                                                              2512             0.3092073
gill-attachment_f,gill-color_b                                                                                             1728             0.21270311
gill-attachment_f,stalk-shape_e                                                                                            3306             0.4069424
gill-attachment_f,stalk-shape_t                                                                                            4608             0.5672083
gill-attachment_f,stalk-root_b                                                                                             3776             0.46479568
gill-attachment_f,stalk-surface-above-ring_k                                                                               2354             0.28975874
gill-attachment_f,stalk-surface-above-ring_s                                                                               4984             0.6134909
gill-attachment_f,stalk-surface-below-ring_k                                                                               2304             0.28360415
gill-attachment_f,stalk-surface-below-ring_s                                                                               4744             0.5839488
gill-attachment_f,stalk-color-above-ring_p                                                                                 1872             0.23042837
gill-attachment_f,stalk-color-above-ring_w                                                                                 4464             0.549483
gill-attachment_f,stalk-color-below-ring_p                                                                                 1872             0.23042837
gill-attachment_f,stalk-color-below-ring_w                                                                                 4384             0.53963566
gill-attachment_f,veil-type_p                                                                                              7914             0.97415066
gill-attachment_f,veil-color_w                                                                                             7906             0.9731659
gill-attachment_f,ring-number_o                                                                                            7296             0.89807975
gill-attachment_f,ring-type_e                                                                                              2776             0.3417036
gill-attachment_f,ring-type_p                                                                                              3776             0.46479568
gill-attachment_f,spore-print-color_k                                                                                      1872             0.23042837
gill-attachment_f,spore-print-color_n                                                                                      1920             0.23633678
gill-attachment_f,spore-print-color_h                                                                                      1632             0.20088626
gill-attachment_f,spore-print-color_w                                                                                      2370             0.2917282
gill-attachment_f,population_v                                                                                             3944             0.48547512
gill-attachment_f,population_y                                                                                             1712             0.21073362
gill-attachment_f,habitat_p                                                                                                4034             0.49655342
gill-attachment_f,habitat_d                                                                                                1880             0.2314131
gill-spacing_c,gill-size_b                                                                                                 4556             0.56080747
gill-spacing_c,gill-size_n                                                                                                 2256             0.27769572
gill-spacing_c,gill-color_b                                                                                                1728             0.21270311
gill-spacing_c,stalk-shape_e                                                                                               3068             0.37764648
gill-spacing_c,stalk-shape_t                                                                                               3744             0.46085674
gill-spacing_c,stalk-root_b                                                                                                3528             0.43426883
gill-spacing_c,stalk-surface-above-ring_k                                                                                  2228             0.27424914
gill-spacing_c,stalk-surface-above-ring_s                                                                                  4424             0.54455936
gill-spacing_c,stalk-surface-below-ring_k                                                                                  2160             0.2658789
gill-spacing_c,stalk-surface-below-ring_s                                                                                  4184             0.5150172
gill-spacing_c,stalk-color-above-ring_p                                                                                    1872             0.23042837
gill-spacing_c,stalk-color-above-ring_w                                                                                    3160             0.38897094
gill-spacing_c,stalk-color-below-ring_p                                                                                    1872             0.23042837
gill-spacing_c,stalk-color-below-ring_w                                                                                    3128             0.385032
gill-spacing_c,veil-type_p                                                                                                 6812             0.8385032
gill-spacing_c,veil-color_w                                                                                                6620             0.8148695
gill-spacing_c,ring-number_o                                                                                               6464             0.7956672
gill-spacing_c,ring-type_e                                                                                                 1952             0.24027573
gill-spacing_c,ring-type_p                                                                                                 3480             0.4283604
gill-spacing_c,spore-print-color_h                                                                                         1632             0.20088626
gill-spacing_c,spore-print-color_w                                                                                         2036             0.25061545
gill-spacing_c,population_v                                                                                                3848             0.4736583
gill-spacing_c,population_y                                                                                                1712             0.21073362
gill-spacing_c,habitat_p                                                                                                   3940             0.48498276
gill-spacing_c,habitat_d                                                                                                   1784             0.21959625
gill-size_b,stalk-shape_e                                                                                                  2828             0.3481044
gill-size_b,stalk-shape_t                                                                                                  2784             0.34268832
gill-size_b,stalk-root_b                                                                                                   3432             0.422452
gill-size_b,stalk-surface-above-ring_s                                                                                     3592             0.44214672
gill-size_b,stalk-surface-below-ring_s                                                                                     3400             0.41851306
gill-size_b,stalk-color-above-ring_w                                                                                       2824             0.34761202
gill-size_b,stalk-color-below-ring_w                                                                                       2824             0.34761202
gill-size_b,veil-type_p                                                                                                    5612             0.69079274
