jake gyllenhaal
david fincher
mnight shyamalan
matthew modine
cameron diaz
moto sakakibara (codirector)
disney
sam neill
nick park
william shatner
freddie highmore
ken kirzinger
arnold schwarzenegger
simon pegg
warwick davis
joaquin phoenix
arnold schwarzenegger
robert englund
angelina jolie
jonathan haze
peter jackson
jared leto
lee tamahori
marco brambilla
joe johnston
m night shyamalan
bill pullman
william shatner
robert de niro
cameron diaz
chris columbus
jan de bont
chris wedge
quentin tarantino
mel stuart
eric goldberg
bryan singer
robert clouse
yimou zhang
curtis hanson
bryan singer
harrison ford
tom hanks
yimou zhang
mark hamill
larry wachkowski
robert zemeckis
vvin diesel
nicolas cage
stephen herek
bill paxton
alfred hitchcock
tim burton
aaliyah
tom hanks
sandra bullock
deforest kelley
garth jennings
martin freeman
robin williams
wesleys snipes
matt damon
tom hanks
ridley scott
mike myers
roland emmerich
pierce brosnan
tobey maguire
kate winslet
jim carrey
john mctiernan
keenen ivory wayans
will smith
robert englund
joe johnston
paul verhoeven
liam neeson
téa leoni
keanu reeves
vladimir menshov
robert de niro
robert wise
andrew davis
michael bay
jonathan frakes
barry cook
quentin tarantino
tyler hoechlin
johnny depp
jackie chan
hayao miyazaki
jon favreau
peter weir
chris columbus
walter salles
samuel ljackson
richard linklater
frank darabont
wyll ferrell
ridley scott
hilary swank
harrison ford
morgan freeman
patrick stewart
patrick stewart
nicolas cage
mark hamill
morgan freeman
stuart townsend
samuel ljackson
sam raimi
kate ashfield
shirley maclaine
todd phillips
robert duvall
tim burton
keanu reeves
bill murray
eddie cibrian
ben affleck
chris noonan
steven spielberg
haley joel osment
andy wachowski
levar burton
barry sonnenfeld
tom shadyac
larry wachkowski
audrey tautou
david twohy
tom shadyac
wim wenders
macaulay culkin
salma hayek
andy wachowski
mel gibson
hayao miyazaki
akira kurosawa
pierce brosnan
joseph melito
will ferrel
samuli torssonen
tim burton
jerry zucker
mike newell
joaquin phoenix
robert zemeckis
hugh grant
clint eastwood
shit
charlie sheen
seann william scott
sam raimi
brad pitt
robert zemeckis
gene roddenberry
ron perlman
randal kleiser
ang lee
peter lord
wesley snipes
johnny depp
steven spielberg
hugh grant
steve oedekerk
mel gibson
tom shadyac
bruce willis
brett ratner
tim robbins
steven spielberg
james wong
byron haskin
matt damon
gwyneth paltrow
tom dey
anthony perkins
hironobu sakaguchi
ben stiller
steven spielberg
mike gabriel
valeri zolotukhin
nick frost
daniel daylewis
irwin winkler
barry levinson
ang lee
tom hanks
morgan freeman
sam mendes
joel coen
tony bancroft
bruce willis
shit
timur bekmambetov
monica bellucci
sofia coppola
christopher lloyd
jude law
robert duvall
sam raimi
bobby farrelly
robert rodriguez
seann william scott
stanley kubrick
dreamworks
anthony minghella
sandra bullock
antoine fuqua
guillermo del toro
stanley kubrick
jet li
charlize theron
bruce campbell
tony kaye
liam neeson
james cameron
ethan coen
mark wahlberg
jim carrey
gus van sant
ian mckellen
jack nicholson
steven soderbergh
dreamworks
mark l lester
samuel ljackson
robert wise
ron howard
peter jackson
milla jovovich
edgar wright
michael moore
terry jones
mel gibson
tom hanks
mel gibson
george clooney
edward norton
joe dante
steven spielberg
wolfgang petersen
sylvester stallone
uma thruman
kasi lemmons
steven spielberg
chuck russell
nora ephron
sigourney weaver
tim burton
steven soderbergh
joe johnston
george clooney
bruce lee
bob baker
martin scorsese
phil alden robinson
roland emmerich
roland emmerich
johnny depp
morris chestnut
roger corman
paul hunter
alexander witt
mike myers
jeanpierre jeunet
arnold schwarzenegger
sean penn
kunihiko yuyama
kirk wisedisney
joel coen
larry wachkowski
ron howard
chris columbus
ben affleck(written by)
bruce hunt cole hauser
mark hamill
connie nielsen
simon west
jim carrey
gene wilder
kate winslet
jim carrey
mimi leder
robin williams
penny marshall
jim carrey
frank darabont
darren aronofsky
brad silberling
andrew adamson
bill murray
henry thomas
michael j fox
leonardo dicaprio
matt damon(written by)
harrison ford
stephen sommers
samuel ljackson
nancy meyers
jim carrey
richard donner
betty thomas
wes craven
eddie murphy
paul verhoeven
steven spielberg
steven spielberg
bruce willis
nicole kidman
m night shyamalan
tom hanks
dennis quaid
christopher lloyd
steven spielberg
ken watanabe
gene roddenberry
gore verbinski
tom cruise
konstantin khabensky
peter cattaneo
john singleton
will smith
chialiang liu
peter segal
terry jones
sam raimi
randal kleiser
paul greengrass
robert rodriguez
russell crowe
paul weitz
barry sonnenfeld
leonard nimoy
brad pitt
carlos saldanha (codirector)
bruce willis
sharon maguire
baz luhrmann
peter farrelly
tom shadyac
marc forster
eddie murphy
mike ditka
peter weller
nick park
kevin costner
antonio banderas
wesley snipes
victor fleming
robin williams
christopher lloyd
anson mount
michael moore
james cameron
jeff daniels
ben stiller
brent spiner
rick moranis
jay roach
tom cruise
ronny yu
robin williams
zack snyder
takeshi kitano
steven spielberg
sylvester stallone
yunfat chow
nick hornby
jan de bont
bruce willis
renny harlin
mark wahlberg
eric bana
edward zwick
jonathan frakes
guillermo del toro
ellen burstyn
tom hanks
eddie murphy
johnny depp
sean connery
quentin tarantino
michael vejar
jay roach
jesse dylan
chris tucker
gene barry
john turturro
peter weir
bruce boxleitner
ben stiller
russel crowe
christopher nolan
nick park
ridley scott
jet li
johnny depp
tom cruise
quentin tarantino
orlando bloom
frank miller
helen hunt
stanley kubrick
bruce willis
matrin lawrecne
nicholas meyer
stephen chow
tim burton
stuart baird
john woo
harrison ford
michael bay
freddie highmore
terry gilliam
will smith
frank oz
tom hanks
ridley scott
stephen norrington
steven spielberg
heather graham
patrick stewart
directed byralph bakshi
terry gilliam
rrobert carlyle
michael j fox
keanu reeves
michael rymer
peter jackson
nick park
peter segal
matt damon
will smith
alec guinnes
jan de bont
stephen norrington
andy wachowski
nick park
mel brooks
claire danes
james cameron
barry sonnenfeld
fernando meirelles
john hurt
josh hartnett
jmackye gruber
wolfgang becker
jim carrey
hugh grant
ivan reitman
jim carrey
chris columbus
uma thruman
f gary gray
eric bress
barry levinsoon
danny leiner
gwyneth paltrow
bob baker
steve box
alan parker
simon west
jim carrey
jonathan frakes
bruce campbell
michel gondry
jim sharman
gene roddenberry
anthony hopkins
jackie chan
michael cimino
michael haigney
bernard rose
james cameron
colin firth
mamoru oshii
haley joel osment
gene roddenberry
judy garland
james cameron
gary trousdale
jack nicholson
leonardo dicaprio
tom cruise
wes craven
harrison ford
robert de niro
robert zemeckis
steve oedekerk
robert zemeckis
edward norton
brian de palma
robin williams
tobey maguire
peter jackson
trey parker
