george clooney
will ferrell
adam sandler
scifi
disney
dennis quaid
edward norton
scarlett johnasson
michael j fox
nicole kidman
johnny depp
helen hunt
helen hunt
adam sandler
terry gilliam
michael keaton
will ferrell
harry connick jr
based on book
topher grace
disney
sequel
weird al
macaulay culkin
john cameron mitchell
tim burton
janeane garofalo
dance movie
bill murray
jeremy piven
johnny depp
benicio del toro
cillian murphy
jim carrey
arnold schwarzenegger
goldie hawn
adam sandler
zach braff
80s classic
woody allen
based on comic book
cillian murphy
leonardo dicaprio
mark ruffalo
sequel
jake gyllenhaal
scifi
dance movie
steve martin
brendan fraser
scifi
sequel
johnny depp
based on book
johnny depp
michael keaton
sequel
wynona ryder
animation
based on comic book
jim carrey
will ferrell
ian mckellan
billy bob thornton
tim allen
johnny depp
based on comic book
robin williams
julia stiles
nick hornby
halle berry
steve martin
steve buscemi
steve martin
80s classic
michael j fox
johnny depp
sequel
michael j fox
harrison ford
luke wilson
jack nicholson
nicole kidman
claire danes
kate winslet
ben foster
tim burton
hugh jackman
musical
michael j fox
eddie murphy
scifi
