henry woolf
peter jackson
siddig
andy robinson
andy robinson
quentin tarantino
siddig
penguins
monte
british sketch comedy
liam neeson
margaret cho
siddig
elijah wood
peter jackson
ian mckellen
robert rodriguez
rwanda
depp & burton
clooney
don siegel
thermopylae
bill condon
brad dourif
brad dourif
nathan lane
drag
andy robinson
satire
don siegel
gender identity
artsy
andy robinson
siddig
awful dirty harry ripoff
christopher guest
gender identity
bill murray
ian mckellen
quentin tarantino
ian mckellen
individual heroism
depp & burton
armin shimerman
peter jackson
yay pie
hitchcock
shakespeare
andy robinson
gender identity
neil patrick harris
monty python
andy robinson
surrealism
andy robinson
monty python
mamet
rene auberjonois
journalism
pastiche
individual heroism
m night shyamalan
christopher guest
andy robinson
andy robinson
