alfonso cuaron
stephen frears
ingmar bergman
elia kazan
stanley kubrick
carl theodor dreyer
milos forman
stanley kubrick
shane black
james mangold
federico fellini
fritz lang
marc singer
thomas schlamme
ingmar bergman
alfred hitchcock
luis bunuel
wong kar wai
federico fellini
woody allen
steven soderbergh
francis ford copolla
federico fellini
wong kar wai
christopher nolan
bill murray
documentary
alfred hitchcock
yimou zhang
charlie kaufman
stanley kubrick
leo mccarey
fernando meirelles
tim burton
tony kaye
harold ramis
frank capra
roman polanski
coen brothers
charles chaplin
orson welles
billy bob thornton
jean renoir
jeanluc godard
hayao miyazaki
charles chaplin
jim sharman
woody allen
martin scorsese
terry gilliam
carol reed
kenji mizoguchi
luis bunuel
jean renoir
federico fellini
documentary
francois truffaut
philip seymour hoffman
akira kurosawa
tom tykwer
terry zwigoff
billy wilder
akira kurosawa
sergio leone
federico fellini
orson welles
rainer werner fassbinder
ang lee
francois truffaut
buster keaton
marlon brando
music
rob reiner
ingmar bergman
quentin tarantino
coen bros
pt anderson
luis bunuel
andrew jarecki
wes anderson
howard hawks
jeanluc godard
peter bogdanovich
stanley kubrick
werner herzog
michael winterbottom
ingmar bergman
francois truffaut
howard hawks
pt anderson
marlon brando
ingmar bergman
wong kar wai
francis ford copolla
charlie kaufman
werner herzog
ingmar bergman
sam mendes
hayao miyazaki
jim jarmusch
krzysztof kieslowski
david lynch
mike nichols
akira kurosawa
pixar
terry gilliam
music
robert bresson
roman polanski
alfred hitchcock
yimou zhang
federico fellini
vittorio de sica
akira kurosawa
michael lehmann
jeanpierre jeunet
vittorio de sica
frank darabont
bennett miller
chris marker
david lynch
howard hawks
elia kazan
federico fellini
alexander payne
george clooney
christopher nolan
alfred hitchcock
ingmar bergman
kiduk kim
documentary
coen brothers
mike nichols
alfred hitchcock
jonathan demme
buster keaton
roman polanski
ingmar bergman
phillip noyce
robert wiene
werner herzog
elia kazan
stephen king
francis ford copolla
bernardo bertolucci
akira kurosawa
