arturo perezreverte
oscar (best cinematography)
lars von trier
jude law
johnny depp
michael moore
darren aronofsky
clint eastwood
johnny depp
tom hanks
quentin tarantino
ang lee
johnny depp
sofia coppola
tom hanks
sean penn
anthony minghella
michael moore
sacha baron cohen
wong kar wai
sean penn
johnny depp
bill murray
al gore
oscar (best cinematography)
alejandro gonzalez inarritu
jude law
ang lee
jude law
sienna miller
terry gilliam
johnny depp
sam mendes
jane campion
sean penn
tom hanks
baz luhrmann
johnny depp
tom hanks
harvey keitel
anthony minghella
tim burton
matt damon
paul thomas anderson
johnny depp
peter jackson
johnny depp
quentin tarantino
tim burton
jude law
alejandro gonzalez inarritu
darren aronofsky
martin scorsese
alejandro gonzalez inarritu
ang lee
holly hunter
harvey keitel
sofia coppola
johnny depp
tim burton
tim burton
zach braff
peter jackson
sam mendes
bill murray
jude law
jude law
anthony minghella
tom hanks
johnny depp
