animation
george clooney
comedy
stanley kubrick
animation
classic
mike myers
monty python
violence
classic
tom hanks
akira kurosawa
christopher nolan
carrieanne moss
terry jones
sam mendes
robert duvall
clive owen
sean connery
charlie kaufman
superhero
monty python
terry jones
robert redford
monty python
eddie murphy
jennifer garner
classic
paul giamatti
michael j fox
julie andrews
laurence fishburne
jim carrey
john malkovich
carrieanne moss
animation
kate winslet
tim allen
woody allen
samuel l jackson
animation
humor
classic
francis ford coppola
diane keaton
graham chapman
comedy
monty python
graham chapman
sydney pollack
humphrey bogart
ang lee
animation
humor
michael caine
antonio banderas
animation
julia roberts
humor
monica bellucci
christian bale
mel gibson
john leguizamo
terry jones
musical
noir thriller
humor
david fincher
julianne moore
animation
robert zemeckis
animation
terry gilliam
comedy
samuel l jackson
robert de niro
francis ford coppola
harrison ford
james stewart
nonlinear
joe wright
morgan freeman
tom wilkinson
graham chapman
martin scorsese
edward norton
tony gilroy
video game adaptation
comedy
humor
giuseppe tornatore
haley joel osment
liam neeson
pixar
m night shyamalan
eric bana
mark ruffalo
comedy
drugs
diane keaton
cameron diaz
keanu reeves
tim allen
animation
heath ledger
robert zemeckis
ingrid bergman
brad pitt
angelina jolie
animation
animation
guy pearce
joe pantoliano
al pacino
joan cusack
jason reitman
marlon brando
tilda swinton
rob minkoff
comedy
bruce willis
francis ford coppola
scifi
comedy
quentin tarantino
ellen page
robert zemeckis
tom hanks
meryl streep
robert de niro
dustin hoffman
catherine deneuve
musical
scifi
humor
mike myers
katie holmes
patrick stewart
humor
scifi
jodie foster
animation
peter sellers
scifi
diane keaton
alfred hitchcock
bruce willis
chris columbus
joan cusack
joe wright
dreamworks
dreamworks
animation
terry gilliam
comedy
robert duvall
billy wilder
terry gilliam
hugh grant
robin williams
humor
kirsten dunst
terry gilliam
anthony hopkins
robert duvall
cult film
tom hanks
war movie
hugh laurie
graham chapman
marlon brando
classic
disney
jake gyllenhaal
jake gyllenhaal
morgan freeman
robert duvall
david lean
cult film
classic
victor fleming
comedy
clark gable
terry jones
annette bening
christopher nolan
michael cera
uma thurman
cameron diaz
cult film
humor
steven spielberg
cult film
michael curtiz
christopher lambert
al pacino
eddie murphy
michael j fox
