author:dashiell hammett
jack nicholson
harrison ford
backwards
whodunnit
cgi
bogart & bacall
classic
humphrey bogart
james cameron
humphrey bogart
michael cera
coen brothers
hannibal lector
tim burton
organized crime
crime
gunsel
keser soze
peter lorre
pinnacle film
dialogue
comic book adaption
cgi
hitchcockian
groundbreaking effects
classic
thoughtprovoking
sadistic
harrison ford
comic book
arnold schwarzenegger
jeff goldblum
author:raymond chandler
cormac mccarthy
spielberg
groundbreaking effects
martin scorsese
genetics
harrison ford
