conspiracy
true story
oscar (best picture)
oscar (best picture)
oscar (best picture)
true story
inlaws
oscar (best picture)
oscar (best picture)
oscar (best picture)
prison
oscar (best picture)
courtroom
oscar (best picture)
fish out of water
oscar (best picture)
oscar (best picture)
oscar (best picture)
psychology
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
true story
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
time
oscar (best picture)
police
oscar (best picture)
psychology
history
oscar (best picture)
animation
oscar (best picture)
romance
oscar (best picture)
oscar (best picture)
oscar (best picture)
ghosts
psychology
courtroom
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
ghosts
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
war
oscar (best picture)
tear jerker
oscar (best picture)
oscar (best picture)
oscar (best picture)
time
oscar (best picture)
oscar (best picture)
mockumentary
animation
oscar (best picture)
oscar (best picture)
oscar (best picture)
racism
tear jerker
oscar (best picture)
animation
water
true story
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
alternate world
oscar (best picture)
oscar (best picture)
oscar (best picture)
courtroom
oscar (best picture)
mockumentary
tear jerker
psychology
oscar (best picture)
oscar (best picture)
oscar (best picture)
time
dog
oscar (best picture)
tear jerker
psychology
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
oscar (best picture)
plotless
dog
oscar (best picture)
