francis ford copolla
surreal
woody allen
quentin tarantino
stanley kubrick
martin scorsese
luc besson
coen brothers
charlie kaufman
francis ford copolla
martin scorsese
stanley kubrick
coen brothers
sophia coppola
whit stillman
tim burton
luc besson
coen brothers
charlie kaufman
francis ford coppola
steven spielberg
monty python
tim burton
gus van sant
audrey tautou
luc besson
luc besson
richard linklater
phillip seymour hoffman
spike jones
tim burton
politics
charlie kaufman
surrealism
tim burton
coen brothers
steven spielberg
m night shyamalan
martin scorsese
martin scorsese
tim burton
michel gondry
sophia coppola
classic
charles bukowski
wes anderson
classic
steven spielberg
quentin tarantino
spike jones
stanley kubrick
marlon brando
tim burton
steven spielberg
david lynch
quentin tarantino
stanley kubrick
francis ford copolla
coen brothers
