steve zahn
clint eastwood
bruce willis
alan rickman
john wayne
bruce dern
prison
robert duval
john wayne
bruce willis
george kennedy
weak ending
vietnam war
kirk douglas
stewart granger
dean martin
nick nolte
formula 1 racing
too much 80s music
charleton heston
charlie sheen
clint eastwood
john wayne
john wayne
edward g robinson
spy
julian sands
forrest tucker
strother martin
wesley snipes
dennis hopper
john wayne
vikings
charleton heston
clint eastwood
predictable movie
john wayne
frank langella
