michelle pfeiffer
jude law
tom cruise
cameron diaz
carrieanne moss
julia roberts
sean penn
sandra bullock
tom cruise
keanu reeves
sandra bullock
nicole kidman
pierce brosnan
renee zellweger
nicole kidman
renee zellweger
lucia moniz
hugh grant
nicole kidman
catherine zetajones
renee zellweger
julia roberts
catherine zetajones
meryl streep
baz luhrmann
julianne moore
meryl streep
annette bening
hugh jackman
adam sandler
uma thurman
maria bello
rodrigo santoro
amanda peet
richard gere
julianne moore
nicole kidman
renee zellweger
drew barrymore
uma thurman
kate hudson
drew barrymore
nicole kidman
hugh grant
julia stiles
naomi watts
orlando bloom
ashley judd
sean penn
nicole kidman
mark wahlberg
morgan freeman
jim carrey
renee zellweger
colin firth
drew barrymore
shaun evans
benicio del toro
maria bello
julia roberts
maria bello
kristen stewart
sandra bullock
renee zellweger
audrey tautou
tom hanks
sandra bullock
richard gere
hugh grant
natalie portman
jodie foster
morgan freeman
charlize theron
audrey tautou
kirsten dunst
richard curtis
renee zellweger
leonardo dicaprio
nicole kidman
renee zellweger
