dark comedy
sergio leone
mike white
robert de niro
carl weathers
kurt russell
vince vaughn
mel brooks
surrealism
axel foley
mel gibson
leonardo dicaprio
gary oldman
stanley kubrick
classic
russell crowe
jake gyllenhaal
bruce lee
cold war
peter sellers
surfing
unchained melody
adrien brody
ridley scott
montypython
prince
arnold schwarzenegger
dustin hoffman
woody allen
jesse ventura
rodney dangerfield
walter matthau
jude law
harold ramis
suburbia
christopher guest
charlie sheen
harrison ford
john belushi
sean connery
drugs
marisa tormei
albert brooks
oscar (best picture)
jack nicholson
tarantino
alexander payne
surrealism
chevy chase
tom hanks
martin scorsese
harrison ford
ted knight
marlon brando
will ferrell
whales
joe pesci
eddie murphy
woody allen
stanley kubrick
bill murray
pink floyd
johnny depp
steve mcqueen
gene wilder
vietnam
coen brothers
kirsten dunst
edward norton
1970s
quentin tarantino
cult film
halle berry
dustin hoffman
billy bob thornton
howard hughes
uma thruman
tom hanks
dennis quaid
christopher guest
daniel daylewis
bill murray
jack lemmon
robin williams
patrick swayze
