orson welles
federico fellini
author:tennessee williams
vietnam war
coen brothers
alfred hitchcock
alfred hitchcock
al pacino
author:jane austen
marilyn monroe
liam neeson
vittorio de sica
al pacino
alfred hitchcock
billy wilder
sophia coppola
alfred hitchcock
classical
hitchcock
ingmar bergman
ingmar bergman
related:casablanca
italian
al pacino
black and white
antisemitism
jack nicholson
woody allen
alfred hitchcock
greta garbo
frank capra
satirical
funny as hell
humphrey bogart
chaplin
silent movie
vivian leigh
